marque,info,type_carburant,kilometrage,annee,prix
6,219,1,19423,2019,20990
18,210,1,63888,2020,21230
21,260,2,20764,2023,21290
17,85,1,118195,2019,21390
21,338,2,65480,2021,21490
17,193,2,16272,2021,21490
21,257,2,5000,2023,21490
21,256,2,4800,2023,21490
21,265,2,15490,2022,21490
1,457,1,74827,2017,21490
21,361,2,93388,2019,21500
21,345,2,60770,2020,21700
17,192,2,3900,2023,21890
21,442,2,85849,2019,21900
18,211,2,53756,2020,21900
21,342,2,32928,2020,21900
21,257,2,8000,2023,21900
21,358,2,37875,2021,21923
21,341,2,41400,2021,21990
21,334,2,46390,2020,21990
21,360,2,32174,2020,21990
21,260,2,13206,2023,21990
21,260,2,6950,2023,21990
21,344,2,48450,2020,21990
21,334,2,35709,2021,21990
21,260,2,15016,2023,21990
21,349,2,4998,2022,21990
21,265,2,4766,2022,21990
21,419,2,103811,2019,21990
21,408,2,89656,2016,21990
21,345,2,45652,2020,21990
17,192,2,10747,2022,21990
21,172,0,57902,2020,21990
21,425,1,135201,2019,21990
21,345,2,57376,2020,21990
17,224,1,24814,2021,21990
17,61,2,9973,2023,21990
21,395,2,16620,2022,21990
21,395,2,20310,2022,21990
21,326,2,36500,2022,21990
21,328,2,10314,2022,21990
21,325,2,24288,2022,21990
21,401,2,24000,2022,21990
21,265,2,20103,2023,21990
0,291,2,82076,2017,21990
13,166,2,30445,2020,21990
11,98,1,39865,2018,21990
1,465,0,23431,2020,21990
2,90,2,38642,2021,21990
21,395,2,4281,2022,22190
21,396,2,15639,2022,22290
18,121,2,19649,2023,22390
21,338,2,59113,2021,22400
21,344,2,34234,2020,22450
21,350,2,8052,2022,22450
21,401,2,10204,2023,22450
0,19,2,11548,2021,22450
18,121,2,10245,2022,22490
21,265,2,17012,2023,22490
18,205,2,13180,2022,22490
21,271,2,38827,2020,22490
21,151,1,61850,2020,22490
21,365,2,88553,2019,22490
21,259,2,11711,2023,22490
21,325,2,27000,2021,22490
21,361,2,82988,2019,22490
21,395,2,6412,2022,22490
21,349,2,14022,2023,22490
21,402,2,10000,2023,22490
20,316,0,85328,2017,22490
21,402,2,8400,2023,22590
21,333,2,14858,2022,22600
21,407,2,42511,2018,22730
21,333,2,13135,2022,22750
21,395,2,12392,2022,22750
0,45,2,98087,2017,22900
21,364,2,86553,2018,22950
21,260,2,14294,2023,22955
21,395,2,18102,2022,22990
21,330,2,20709,2022,22990
21,260,2,5719,2023,22990
21,246,2,22031,2022,22990
21,348,2,18758,2023,22990
21,396,2,10010,2022,22990
21,333,2,10347,2022,22990
17,193,2,6192,2023,22990
21,144,2,44218,2019,22990
21,329,2,17033,2022,22990
21,256,2,8150,2023,22990
17,62,2,11181,2023,22990
21,170,0,32285,2021,22990
21,237,1,79335,2019,22990
17,82,1,85976,2021,22990
21,268,2,15046,2023,22990
21,99,1,22187,2022,22990
21,259,2,11171,2023,22990
21,395,2,15360,2022,22990
21,269,2,73962,2011,8490
21,455,2,96931,2018,8990
20,87,2,63256,2016,8990
21,452,2,76022,2016,9490
16,447,2,52185,2019,10690
21,451,2,31187,2019,10850
21,449,2,31380,2019,10900
21,455,2,27000,2018,10974
4,112,1,108565,2018,10990
21,450,2,13061,2020,11390
21,452,2,27785,2018,11400
5,11,2,75131,2018,11490
16,108,2,39538,2018,11690
14,202,1,94859,2016,11890
21,454,2,41958,2021,11900
21,252,2,134410,2017,11990
16,203,2,81530,2018,12490
21,270,2,91670,2017,12990
19,324,2,25594,2020,12990
16,102,2,51210,2018,12990
17,196,2,77605,2018,13490
17,67,1,141747,2018,13490
5,9,2,36114,2020,13490
21,422,1,107034,2012,13490
15,2,1,85402,2019,13690
2,89,2,48150,2021,13690
21,93,1,66644,2015,13990
17,198,2,67828,2020,13990
17,197,2,49925,2020,13990
21,453,2,15201,2021,13990
15,3,2,49109,2021,13990
9,272,1,101436,2017,13990
8,218,2,78693,2018,13990
21,239,2,28854,2017,14390
21,263,2,119578,2021,14490
21,462,0,23702,2020,14790
21,453,2,15000,2022,14900
21,462,0,16429,2020,14990
21,241,2,72116,2020,14990
21,241,2,75104,2021,14990
17,201,1,86865,2020,14990
21,448,2,9396,2018,14990
16,204,1,73721,2018,14990
21,462,0,16892,2021,15490
21,242,2,36287,2021,15490
21,255,2,83498,2019,15490
21,254,2,92013,2019,15490
17,200,2,27683,2022,15800
21,249,2,61190,2020,15900
18,103,0,32841,2019,15900
21,110,2,79971,2016,15990
21,244,2,30218,2020,15990
21,241,2,21558,2021,15990
21,241,2,14382,2020,15990
17,221,2,27798,2020,15990
21,264,2,72256,2018,15990
17,198,2,21562,2020,15990
21,161,2,75822,2016,15990
17,59,2,26605,2021,15990
21,253,2,60596,2019,15990
21,261,2,54584,2020,15990
21,111,1,105578,2016,15990
15,6,2,29019,2019,15990
6,220,1,123681,2017,15990
5,12,2,39798,2018,15990
21,241,2,32911,2021,16404
21,244,2,43855,2020,16490
21,160,2,70659,2017,16490
18,321,1,100394,2015,16490
4,114,2,53851,2018,16490
1,8,1,81775,2017,16490
21,249,2,39127,2021,16790
21,240,2,6530,2021,16874
18,119,2,1800,2023,16890
17,199,2,16162,2019,16890
21,350,2,35724,2020,16890
21,249,2,29850,2020,16900
21,255,2,38062,2019,16900
21,359,2,120456,2018,16900
21,359,2,99104,2018,16990
21,359,2,94651,2018,16990
21,254,2,51120,2019,16990
21,262,2,37962,2020,16990
21,262,2,29052,2020,16990
21,158,2,117213,2017,16990
21,243,2,13848,2021,16990
21,160,2,64625,2017,16990
21,141,2,94567,2017,16990
21,262,2,29711,2020,16990
17,60,2,42856,2021,16990
21,258,2,34474,2020,16990
17,229,0,47098,2019,16990
21,142,2,98343,2018,16990
21,262,2,41769,2021,16990
12,106,2,70434,2018,16990
15,7,2,37247,2019,16990
8,466,2,88533,2019,16990
0,273,2,92688,2017,17300
3,124,0,1653,2023,44990
21,179,0,15000,2023,44990
21,428,1,15000,2023,44990
21,182,0,8000,2022,44990
0,48,1,13442,2022,44990
21,409,0,2000,2023,45500
21,173,0,5000,2022,45900
0,284,1,9900,2022,45900
0,393,2,11517,2022,45900
0,48,1,15963,2022,45900
3,124,0,9,2023,45990
21,435,2,22835,2022,45990
0,304,1,45260,2021,45990
0,56,1,58215,2020,45990
0,301,0,10441,2022,45990
21,437,1,15000,2023,46500
21,432,1,8000,2023,46500
21,382,1,8800,2023,46560
0,298,2,14736,2022,46900
21,187,0,9500,2023,46990
3,124,0,8450,2023,46990
0,294,2,9900,2023,46990
0,294,2,100,2023,46999
17,226,0,5000,2023,47390
3,132,2,2500,2023,47990
21,189,0,10818,2022,47990
21,438,1,15000,2023,47990
21,189,0,9000,2022,48250
21,186,0,10,2023,48490
18,116,0,5000,2023,48555
21,189,0,10065,2022,48900
21,433,1,13644,2023,48900
0,54,1,86184,2021,48900
0,296,1,21186,2023,48900
0,48,1,15360,2022,48900
0,53,1,12148,2023,48990
21,168,0,6490,2023,49900
21,167,0,2000,2022,49900
0,47,1,15500,2022,49900
0,50,1,11600,2022,49900
0,49,2,9900,2022,49900
